Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
2006-03-31,1293.74,22.78,72.67,199.8,4.72,1665.0200693694,29.31744954955,93.524980630631,26.327837778668
2006-02-28,1276.65,22.593333333333,71.723333333333,198.7,4.57,1652.1213102667,29.23818389532,92.817645747358,26.249624763583
2006-01-31,1278.73,22.406666666667,70.776666666667,198.3,4.42,1658.1510512859,29.055107715582,91.777313615734,26.468702626686
2005-12-31,1262.07,22.22,69.83,196.8,4.47,1649.0214315549,29.03266554878,91.239920579268,26.443803114292
2005-11-30,1237.37,21.97,68.71,197.6,4.54,1610.2028564271,28.589796710526,89.413060172065,25.931783309069
2005-10-31,1191.96,21.72,67.59,199.2,4.46,1538.6516186747,28.037445180723,87.249121536145,24.876538723648
2005-09-30,1225.92,21.47,66.47,198.8,4.2,1585.6732539235,27.770494617706,85.976002665996,25.730122990164
2005-08-31,1224.27,21.29,65.4,196.4,4.26,1602.8898346741,27.874181822811,85.625715885947,26.104381410936
2005-07-31,1222.24,21.11,64.33,195.4,4.18,1608.4215525077,27.779960542477,84.655843756397,26.287871091255
2005-06-30,1202.25,20.93,63.26,194.5,4.0,1589.4363123393,27.670536092545,83.632972442159,26.068394871884
2005-05-31,1178.28,20.696666666667,62.246666666667,194.4,4.14,1558.54805,27.376132561728,82.335625617284,25.650230187183
2005-04-30,1164.43,20.463333333333,61.233333333333,194.6,4.34,1538.6452506166,27.039676618705,80.912014902364,25.408922569114
2005-03-31,1194.9,20.23,60.22,193.3,4.5,1589.5260791516,26.911132798758,80.10817682359,26.339142131058
2005-02-28,1199.63,19.966666666667,59.663333333333,191.8,4.17,1608.2985326903,26.768554223149,79.988372627737,26.744863128101
2005-01-31,1181.41,19.703333333333,59.106666666667,190.7,4.22,1593.0077922916,26.567883744101,79.699156581017,26.58725069797
2004-12-31,1199.21,19.44,58.55,190.3,4.23,1620.408093484,26.26790415134,79.114495270625,27.144808694741
2004-11-30,1168.94,19.346666666667,58.29,191.0,4.19,1573.7176055497,26.045981780105,78.474514712042,26.465310814818
2004-10-31,1117.21,19.253333333333,58.03,190.9,4.1,1504.8625573075,25.933907176532,78.165406862232,25.411655665489
2004-09-30,1117.66,19.16,57.77,189.9,4.13,1513.3963914692,25.944092890995,78.224960663507,25.668406776358
2004-08-31,1088.94,18.973333333333,57.23,189.5,4.28,1477.6197501847,25.745561794195,77.657334934037,25.174462226478
2004-07-31,1105.85,18.786666666667,56.69,189.4,4.5,1501.3577779831,25.505726927138,76.965205438226,25.695888646269
2004-06-30,1132.76,18.6,56.15,189.7,4.73,1535.46006136,25.212363732209,76.111517395888,26.401285366475
2004-05-31,1102.78,18.406666666667,54.766666666667,189.1,4.72,1499.565026018,25.029465150714,74.471950819672,25.902814292944
2004-04-30,1133.36,18.213333333333,53.383333333333,188.0,4.35,1550.1651970213,24.911480425532,73.015622074468,26.900577508445
2004-03-31,1123.98,18.02,52.0,187.4,3.83,1542.2577012807,24.725959338314,71.351270010672,26.886530384036
2004-02-29,1143.36,17.81,50.913333333333,186.2,4.08,1578.9605104189,24.595303920516,70.310438345865,27.65086203674
2004-01-31,1132.52,17.6,49.826666666667,185.2,4.15,1572.4355306695,24.436535637149,69.181313390929,27.658540355737
2003-12-31,1080.64,17.39,48.74,184.3,4.27,1507.7302710798,24.262871459577,68.003010634835,26.635170511082
2003-11-30,1049.9,17.123333333333,45.353333333333,184.5,4.3,1463.2533121951,23.86491495935,63.209272520325,25.94679821842
2003-10-31,1038.73,16.856666666667,41.966666666667,185.0,4.29,1443.7729376757,23.429764378378,58.331171351351,25.68275607058
